2020-02-10,2160176
2020-02-11,3381368
2020-02-12,1826055
2020-02-13,1780686
2020-02-14,20924364
2020-02-15,20552625
2020-02-16,16541359
2020-02-17,11983726
2020-02-18,5082338
2020-02-19,2665678
2020-02-20,2551581
2020-02-21,8049028
2020-02-22,11961933
2020-02-23,7871248
2020-02-24,1707315
2020-02-25,3224918
2020-02-26,2583834
2020-02-27,1477710
2020-02-28,9979880
2020-02-29,11195770
2020-03-01,7030015
2020-03-02,2076325
2020-03-03,3456185
2020-03-04,1997250
2020-03-05,1808145
2020-03-06,12096726
2020-03-07,16514193
2020-03-08,10508942
2020-03-09,2509515
2020-03-10,4053912
2020-03-11,2202553
2020-03-12,1872846
2020-03-13,3993234
2020-03-14,4675724
2020-03-15,2687350
2020-03-16,753347
2020-03-17,346334
2020-03-18,61529
2020-03-19,33296
2020-03-25,173
2020-03-26,24
2020-03-27,192
2020-04-03,471
2020-04-04,582
2020-04-05,141
2020-04-06,126
2020-04-07,174
2020-04-08,279
2020-04-09,297
2020-04-10,846
2020-04-11,582
2020-04-12,282
2020-04-13,276
2020-04-14,336
2020-04-15,102
2020-04-16,363
2020-04-17,591
2020-04-18,909
2020-04-19,990
2020-04-20,261
2020-04-21,600
2020-04-22,207
2020-04-23,705
2020-04-24,3065
2020-04-25,4868
2020-04-26,1906
2020-04-27,1042
2020-04-28,1224
2020-04-29,1156
2020-04-30,1769
2020-05-01,26506
2020-05-02,26797
2020-05-03,12605
2020-05-04,7152
2020-05-05,5966
2020-05-06,8315
2020-05-07,8345
2020-05-08,24149
2020-05-09,32653
2020-05-10,12806
2020-05-11,9695
2020-05-12,11658
2020-05-13,14043
2020-05-14,11267
2020-05-15,32243
2020-05-16,38774
2020-05-17,20958
2020-05-18,12625
2020-05-19,14885
2020-05-20,16124
2020-05-21,14401
2020-05-22,70195
2020-05-23,84445
2020-05-24,61648
2020-05-25,20046
2020-05-26,19728
2020-05-27,18141
2020-05-28,20462
2020-05-29,63514
2020-05-30,78255
2020-05-31,33868
